description,hostname,field_name,field_value,snmp_index,data_source_path
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/13/0/5,570,<path_rra>/p-d2-jt2_new_traffic_in_153567.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/25,174,<path_rra>/p2-d1-btc_traffic_in_138685.rrd
 P-D5-KBL,61.5.14.164,ifName,HundredGigE0/11/0/29,676,<path_rra>/p-d5-kbl_traffic_in_149981.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/26,175,<path_rra>/p2-d1-btc_traffic_in_138686.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/27,176,<path_rra>/p2-d1-btc_traffic_in_138687.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/28,177,<path_rra>/p2-d1-btc_traffic_in_138688.rrd
 P-D2-CKA,61.5.14.158,ifName,Bundle-Ether12,845,<path_rra>/p-d2-cka_new_traffic_in_163216.rrd
 P-D2-CKA,61.5.14.158,ifName,HundredGigE0/10/0/18,196,<path_rra>/p-d2-cka_traffic_in_151890.rrd
 P-D2-CKA,61.5.14.158,ifName,HundredGigE0/10/0/26,204,<path_rra>/p-d2-cka_traffic_in_151898.rrd
 P-D2-CKA,61.5.14.158,ifName,HundredGigE0/10/0/27,205,<path_rra>/p-d2-cka_traffic_in_151899.rrd
 P-D7-PTR,61.5.13.10,ifName,GigabitEthernet0/13/1/11.3535,773,<path_rra>/p-d7-ptr_traffic_in_141897.rrd
 P-D7-PTR,61.5.13.10,ifName,GigabitEthernet0/13/1/16,100,<path_rra>/p-d7-ptr_traffic_in_141893.rrd
 P-D7-PTR,61.5.13.10,ifName,GigabitEthernet0/13/1/14,98,<path_rra>/p-d7-ptr_traffic_in_141891.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/11/0/27,308,<path_rra>/p2-d1-btc_traffic_in_138819.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/11/0/28,309,<path_rra>/p2-d1-btc_traffic_in_138820.rrd
